Bike Name,Model,Manufacturer,Avg Lifespan (years),Demand,Base Price (INR),Base Price (USD)
Speedster,ZR700,Hero,6,High,156259,1875.11
Falcon,MX200,KTM,15,Medium,53987,647.84
Storm,TX900,Hero,6,Medium,143224,1718.69
Cruiser,GT500,BMW,13,High,187070,2244.84
Falcon,TX900,BMW,10,Medium,142672,1712.06
Speedster,TX900,Hero,13,Low,85694,1028.33
Racer,TX900,BMW,14,High,106815,1281.78
Racer,X100,Yamaha,8,Low,166727,2000.72
Speedster,Pro300,KTM,15,High,149152,1789.82
Falcon,TX900,Suzuki,8,Medium,68495,821.94
Racer,MX200,Yamaha,6,Medium,50648,607.78
Speedster,MX200,BMW,9,High,162096,1945.15
Storm,X100,Suzuki,15,High,168154,2017.85
Falcon,MX200,KTM,9,High,70323,843.88
Cruiser,ZR700,BMW,9,Low,117309,1407.71
Storm,TX900,Suzuki,13,Low,92913,1114.96
Speedster,X100,Honda,11,High,158179,1898.15
Cruiser,Pro300,KTM,8,Low,176849,2122.19
Storm,GT500,KTM,8,Medium,182906,2194.87
Storm,ZR700,Hero,10,Low,89589,1075.07
Speedster,ZR700,Suzuki,6,High,75255,903.06
Speedster,Pro300,Hero,12,Medium,149318,1791.82
Storm,GT500,Yamaha,14,High,181492,2177.9
Rogue,GT500,Suzuki,14,Low,197507,2370.08
Speedster,Pro300,Honda,10,High,80834,970.01
Falcon,GT500,Honda,13,Low,93546,1122.55
Rogue,MX200,Hero,14,Medium,54096,649.15
Racer,ZR700,BMW,8,Medium,104628,1255.54
Cruiser,X100,KTM,11,High,92007,1104.08
Speedster,TX900,Yamaha,10,High,108557,1302.68
Racer,ZR700,Suzuki,14,Low,105468,1265.62
Storm,MX200,Honda,14,Low,132737,1592.84
Rogue,Pro300,Honda,14,Low,52144,625.73
Speedster,Pro300,Yamaha,5,High,108534,1302.41
Storm,X100,Yamaha,8,Medium,199572,2394.86
Storm,GT500,Yamaha,6,High,66032,792.38
Cruiser,X100,KTM,15,Low,87872,1054.46
Racer,TX900,Hero,12,High,119145,1429.74
Speedster,X100,Hero,11,Low,193875,2326.5
Speedster,Pro300,Hero,12,Medium,84724,1016.69
Falcon,ZR700,Suzuki,8,Low,151532,1818.38
Falcon,ZR700,Honda,15,Medium,55300,663.6
Rogue,ZR700,Honda,15,Medium,166204,1994.45
Storm,TX900,Yamaha,9,Medium,158579,1902.95
Falcon,TX900,Hero,10,Low,123585,1483.02
Cruiser,MX200,Hero,9,Medium,146605,1759.26
Falcon,ZR700,Honda,7,Low,76686,920.23
Speedster,TX900,BMW,7,High,78531,942.37
Storm,TX900,Hero,8,Low,69066,828.79
Cruiser,X100,Hero,6,High,121136,1453.63
Falcon,TX900,Hero,8,High,182605,2191.26
Falcon,MX200,Honda,5,Medium,79212,950.54
Storm,X100,KTM,6,Medium,111126,1333.51
Falcon,MX200,Hero,9,High,196659,2359.91
Storm,Pro300,Hero,15,High,147475,1769.7
Racer,GT500,Suzuki,5,High,110122,1321.46
Falcon,GT500,KTM,13,Medium,168222,2018.66
Falcon,ZR700,Honda,10,Low,104527,1254.32
Rogue,MX200,Honda,11,Medium,75760,909.12
Rogue,GT500,BMW,13,Medium,125812,1509.74
Speedster,Pro300,Honda,10,Low,190153,2281.84
Falcon,MX200,Yamaha,13,Low,77052,924.62
Falcon,TX900,Hero,8,Medium,136558,1638.7
Cruiser,GT500,Suzuki,10,Medium,161913,1942.96
Racer,GT500,BMW,7,Low,131920,1583.04
Falcon,ZR700,Yamaha,5,Low,153534,1842.41
Rogue,MX200,Yamaha,7,Medium,121805,1461.66
Speedster,ZR700,KTM,6,High,198444,2381.33
Racer,MX200,Yamaha,9,Medium,117268,1407.22
Speedster,TX900,BMW,15,High,108166,1297.99
Storm,X100,Hero,11,Low,122563,1470.76
Rogue,ZR700,KTM,13,High,189337,2272.04
Cruiser,ZR700,Hero,6,Low,74392,892.7
Speedster,GT500,Yamaha,8,Medium,83187,998.24
Racer,TX900,BMW,7,Medium,93007,1116.08
Rogue,X100,BMW,10,Medium,83663,1003.96
Speedster,X100,Yamaha,8,Medium,114628,1375.54
Racer,MX200,BMW,14,High,172836,2074.03
Cruiser,ZR700,Hero,12,Medium,143435,1721.22
Falcon,Pro300,Honda,7,High,152427,1829.12
Storm,TX900,Suzuki,14,Low,58118,697.42
Rogue,MX200,Hero,12,Medium,69602,835.22
Racer,GT500,Honda,5,High,85529,1026.35
Storm,TX900,Hero,8,Low,119857,1438.28
Speedster,TX900,Hero,14,High,194521,2334.25
Speedster,GT500,Yamaha,14,Medium,199845,2398.14
Rogue,GT500,Hero,13,Low,79550,954.6
Rogue,GT500,Yamaha,12,Medium,83712,1004.54
Speedster,TX900,KTM,12,Medium,112373,1348.48
Cruiser,MX200,Yamaha,15,Low,118054,1416.65
Falcon,TX900,Suzuki,14,Low,98709,1184.51
Cruiser,TX900,Honda,7,Low,136850,1642.2
Falcon,X100,KTM,11,Medium,53086,637.03
Storm,X100,Suzuki,13,Medium,172760,2073.12
Storm,Pro300,Honda,12,Medium,96069,1152.83
Speedster,MX200,Hero,5,Medium,95937,1151.24
Cruiser,TX900,Suzuki,11,Medium,71529,858.35
Cruiser,X100,Hero,15,High,155151,1861.81
Storm,ZR700,Hero,14,High,134385,1612.62
Storm,X100,Yamaha,15,Low,61020,732.24
Racer,MX200,KTM,11,Medium,189552,2274.62
Rogue,MX200,Hero,12,High,196045,2352.54
Cruiser,MX200,BMW,5,Low,52100,625.2
Racer,MX200,BMW,10,Medium,191622,2299.46
Cruiser,GT500,BMW,8,Low,162541,1950.49
Rogue,MX200,BMW,8,Low,160954,1931.45
Storm,MX200,Yamaha,15,Low,174091,2089.09
Racer,Pro300,KTM,5,Medium,162687,1952.24
Falcon,MX200,BMW,5,High,136753,1641.04
Falcon,MX200,Hero,5,Low,78286,939.43
Storm,ZR700,Yamaha,10,High,185058,2220.7
Rogue,ZR700,Yamaha,11,High,109337,1312.04
Cruiser,GT500,Hero,10,High,197263,2367.16
Falcon,TX900,Suzuki,7,High,146704,1760.45
Racer,ZR700,Suzuki,13,Medium,114570,1374.84
Rogue,X100,BMW,10,Low,60427,725.12
Racer,ZR700,KTM,14,Low,65748,788.98
Falcon,X100,Hero,9,Medium,58423,701.08
Falcon,ZR700,Suzuki,5,Low,111071,1332.85
Speedster,X100,Honda,14,Medium,121772,1461.26
Racer,Pro300,KTM,5,Low,120159,1441.91
Falcon,Pro300,BMW,7,Medium,150486,1805.83
Cruiser,TX900,BMW,14,High,101878,1222.54
Falcon,Pro300,KTM,13,High,87106,1045.27
Racer,Pro300,BMW,14,Low,111003,1332.04
Speedster,MX200,BMW,7,High,72037,864.44
Rogue,MX200,Suzuki,15,Low,51595,619.14
Rogue,Pro300,Hero,7,High,158723,1904.68
Cruiser,TX900,Yamaha,9,High,169328,2031.94
Falcon,GT500,Hero,12,Medium,99507,1194.08
Cruiser,Pro300,Suzuki,13,Low,105478,1265.74
Falcon,ZR700,Suzuki,10,High,92142,1105.7
Cruiser,X100,Hero,7,Low,58283,699.4
Falcon,GT500,BMW,11,Medium,149839,1798.07
Falcon,GT500,BMW,10,High,151125,1813.5
Falcon,TX900,Honda,11,Medium,172976,2075.71
Cruiser,GT500,Honda,5,High,178948,2147.38
Falcon,Pro300,KTM,11,High,128620,1543.44
Rogue,X100,BMW,14,Low,163334,1960.01
Storm,ZR700,Yamaha,15,Low,72764,873.17
Falcon,X100,Hero,13,High,62461,749.53
Speedster,GT500,Suzuki,7,High,156020,1872.24
Rogue,ZR700,Yamaha,6,High,130462,1565.54
Rogue,X100,Yamaha,14,Low,105434,1265.21
Falcon,TX900,Yamaha,9,Low,109868,1318.42
Speedster,Pro300,Yamaha,15,Medium,174150,2089.8
Falcon,TX900,KTM,7,Medium,110598,1327.18
Falcon,TX900,Hero,9,High,106451,1277.41
Rogue,TX900,Honda,5,Medium,118234,1418.81
Racer,GT500,Honda,13,Low,59391,712.69
Cruiser,GT500,Yamaha,15,High,159511,1914.13
Storm,ZR700,Honda,8,High,77163,925.96
Storm,GT500,Honda,9,Medium,80454,965.45
Storm,TX900,BMW,10,High,114024,1368.29
Storm,MX200,Honda,10,High,136931,1643.17
Falcon,MX200,Honda,9,High,63972,767.66
Rogue,GT500,Yamaha,10,Medium,96174,1154.09
Falcon,ZR700,Yamaha,14,High,149018,1788.22
Rogue,MX200,Hero,11,Medium,180329,2163.95
Cruiser,X100,Hero,5,Low,63154,757.85
Cruiser,GT500,Yamaha,7,High,83369,1000.43
Speedster,X100,Hero,5,High,54339,652.07
Falcon,GT500,Honda,8,Medium,152547,1830.56
Cruiser,GT500,Honda,8,High,139231,1670.77
Rogue,X100,KTM,6,High,69383,832.6
Storm,X100,Yamaha,5,Medium,138787,1665.44
Storm,X100,Suzuki,10,Medium,199427,2393.12
Speedster,X100,Honda,11,Low,103108,1237.3
Storm,MX200,Honda,6,High,64939,779.27
Cruiser,Pro300,Honda,13,High,61941,743.29
Speedster,X100,Honda,10,Medium,187791,2253.49
Storm,TX900,BMW,15,High,71149,853.79
Storm,X100,Suzuki,10,Low,117634,1411.61
Storm,Pro300,Yamaha,8,High,58249,698.99
Speedster,ZR700,BMW,12,High,180934,2171.21
Speedster,X100,KTM,14,Low,148340,1780.08
Falcon,TX900,BMW,11,Low,50624,607.49
Storm,TX900,BMW,5,Medium,111151,1333.81
Speedster,ZR700,BMW,6,Medium,97736,1172.83
Rogue,Pro300,BMW,13,Low,134517,1614.2
Falcon,TX900,Yamaha,7,Medium,192961,2315.53
Falcon,MX200,BMW,14,High,74115,889.38
Rogue,ZR700,Suzuki,13,Low,142673,1712.08
Storm,GT500,Honda,9,Low,129088,1549.06
Cruiser,Pro300,BMW,10,Medium,153138,1837.66
Rogue,MX200,KTM,8,Low,75622,907.46
Rogue,GT500,Suzuki,9,High,144622,1735.46
Rogue,X100,Yamaha,14,High,96082,1152.98
Racer,GT500,Hero,10,Low,116100,1393.2
Storm,GT500,Honda,12,High,192563,2310.76
Cruiser,ZR700,KTM,6,Medium,52141,625.69
Racer,TX900,Yamaha,12,High,136607,1639.28
Falcon,ZR700,BMW,8,Low,191231,2294.77
Falcon,ZR700,Hero,14,High,137331,1647.97
Racer,MX200,Honda,7,Medium,181497,2177.96
Cruiser,ZR700,Yamaha,7,High,175244,2102.93
Falcon,Pro300,Yamaha,6,Low,66121,793.45
Storm,ZR700,Hero,10,Medium,118928,1427.14
Speedster,X100,BMW,9,Medium,125107,1501.28
Cruiser,MX200,KTM,5,Medium,111671,1340.05
Falcon,MX200,KTM,12,High,186668,2240.02
Cruiser,Pro300,Hero,9,High,111786,1341.43
Storm,Pro300,Suzuki,5,Low,140353,1684.24
Cruiser,X100,KTM,6,Low,100232,1202.78
Speedster,ZR700,Yamaha,7,High,50445,605.34
Racer,GT500,Yamaha,14,Medium,110115,1321.38
Racer,Pro300,BMW,5,High,172536,2070.43
Falcon,ZR700,KTM,14,Medium,188367,2260.4
Cruiser,Pro300,KTM,14,High,171052,2052.62
Rogue,MX200,Suzuki,8,Medium,171874,2062.49
Speedster,ZR700,Hero,8,Low,174901,2098.81
Falcon,Pro300,Yamaha,5,Medium,150342,1804.1
Rogue,TX900,KTM,14,High,62558,750.7
Cruiser,TX900,Honda,9,Low,64348,772.18
Speedster,TX900,Suzuki,13,Low,81633,979.6
Storm,X100,Honda,14,Medium,132001,1584.01
Speedster,GT500,BMW,11,High,195413,2344.96
Rogue,Pro300,Honda,13,Low,198736,2384.83
Speedster,TX900,Hero,10,Low,63198,758.38
Speedster,ZR700,BMW,7,Low,136710,1640.52
Racer,X100,Honda,12,High,184067,2208.8
Cruiser,Pro300,KTM,13,Low,71738,860.86
Storm,TX900,BMW,11,Medium,179277,2151.32
Rogue,Pro300,Yamaha,10,Low,84459,1013.51
Falcon,ZR700,Hero,8,Medium,54736,656.83
Racer,ZR700,KTM,14,Medium,80503,966.04
Rogue,ZR700,Yamaha,6,High,87101,1045.21
Rogue,X100,Suzuki,11,Medium,59886,718.63
Racer,ZR700,Yamaha,6,High,171763,2061.16
Speedster,MX200,KTM,5,High,185474,2225.69
Storm,Pro300,BMW,6,Medium,157150,1885.8
Rogue,TX900,BMW,6,Medium,65360,784.32
Speedster,GT500,KTM,14,High,105562,1266.74
Cruiser,TX900,KTM,8,Medium,176082,2112.98
Falcon,TX900,Yamaha,15,Low,132443,1589.32
Storm,MX200,KTM,12,Low,99254,1191.05
Storm,X100,BMW,5,Medium,56416,676.99
Speedster,TX900,BMW,8,Low,168923,2027.08
Falcon,GT500,BMW,5,Low,192692,2312.3
Racer,GT500,Yamaha,14,Medium,166600,1999.2
Racer,GT500,Hero,13,Medium,151719,1820.63
Cruiser,X100,Honda,13,Medium,55336,664.03
Racer,GT500,Honda,14,High,106745,1280.94
Storm,GT500,Yamaha,5,High,66991,803.89
Rogue,TX900,BMW,7,High,133307,1599.68
Racer,GT500,BMW,7,Medium,176051,2112.61
Falcon,Pro300,BMW,6,High,169842,2038.1
Racer,X100,Hero,13,Low,85984,1031.81
Falcon,TX900,Yamaha,8,Medium,102968,1235.62
Falcon,TX900,KTM,8,Medium,63821,765.85
Rogue,Pro300,Honda,9,High,56781,681.37
Racer,ZR700,Honda,8,Low,62211,746.53
Speedster,ZR700,Hero,14,Low,50668,608.02
Racer,GT500,Suzuki,9,Low,181306,2175.67
Falcon,TX900,Yamaha,5,Low,148206,1778.47
Rogue,ZR700,BMW,11,High,89586,1075.03
Speedster,GT500,KTM,7,Medium,189888,2278.66
Speedster,TX900,Honda,12,Medium,154946,1859.35
Speedster,X100,Yamaha,15,Medium,193247,2318.96
Storm,ZR700,Suzuki,13,Low,137084,1645.01
Speedster,X100,Yamaha,9,Medium,66311,795.73
Rogue,MX200,KTM,15,High,180729,2168.75
Speedster,Pro300,Yamaha,8,High,159565,1914.78
Falcon,X100,Honda,5,Low,120656,1447.87
Rogue,X100,Yamaha,7,Medium,61994,743.93
Racer,GT500,KTM,10,Low,88384,1060.61
Speedster,GT500,Suzuki,11,High,144383,1732.6
Speedster,TX900,Yamaha,11,Low,107205,1286.46
Cruiser,GT500,Suzuki,15,High,124540,1494.48
Storm,TX900,BMW,14,Low,95276,1143.31
Racer,GT500,BMW,5,Low,76254,915.05
Cruiser,X100,Honda,5,Low,81403,976.84
Rogue,TX900,Yamaha,8,High,167514,2010.17
Rogue,MX200,Yamaha,13,Medium,104145,1249.74
Storm,Pro300,Yamaha,9,Medium,84844,1018.13
Cruiser,MX200,Honda,12,High,52242,626.9
Falcon,TX900,Yamaha,13,Medium,180873,2170.48
Rogue,X100,BMW,6,Low,158749,1904.99
Rogue,TX900,Suzuki,6,High,176216,2114.59
Rogue,MX200,Honda,13,Medium,67958,815.5
Falcon,ZR700,BMW,9,High,65010,780.12
Storm,TX900,Honda,5,High,100821,1209.85
Cruiser,GT500,BMW,9,High,112763,1353.16
Speedster,Pro300,Suzuki,11,Medium,80695,968.34
Rogue,X100,Suzuki,6,Medium,84436,1013.23
Speedster,TX900,BMW,12,Low,189711,2276.53
Speedster,TX900,KTM,7,Medium,93884,1126.61
Falcon,MX200,BMW,10,Low,183766,2205.19
Rogue,ZR700,Honda,10,Low,70459,845.51
Speedster,GT500,KTM,13,High,179055,2148.66
Racer,X100,Suzuki,10,Low,168842,2026.1
Cruiser,MX200,Honda,8,High,145009,1740.11
Racer,Pro300,Hero,15,High,155429,1865.15
Speedster,TX900,Honda,12,Low,149152,1789.82
Racer,ZR700,BMW,5,Low,140485,1685.82
Storm,MX200,Suzuki,9,High,175314,2103.77
Cruiser,GT500,BMW,5,Low,157769,1893.23
Racer,Pro300,Hero,14,Medium,169773,2037.28
Racer,GT500,Yamaha,11,Medium,105268,1263.22
Racer,GT500,BMW,13,Medium,132952,1595.42
Speedster,Pro300,Hero,7,Low,146690,1760.28
Rogue,Pro300,Yamaha,15,Medium,113326,1359.91
Storm,TX900,BMW,14,Medium,151519,1818.23
Speedster,GT500,Hero,15,Medium,153367,1840.4
Speedster,X100,Hero,5,High,102876,1234.51
Cruiser,Pro300,Yamaha,11,High,124700,1496.4
Rogue,ZR700,Suzuki,9,High,190225,2282.7
Storm,TX900,Hero,10,High,125924,1511.09
Racer,X100,Honda,9,Medium,77412,928.94
Speedster,X100,Honda,13,High,183455,2201.46
Falcon,ZR700,KTM,14,Medium,99425,1193.1
Rogue,TX900,Suzuki,5,Low,59728,716.74
Storm,MX200,Honda,5,High,74688,896.26
Rogue,MX200,Honda,5,Medium,148268,1779.22
Storm,X100,KTM,9,Medium,139527,1674.32
Falcon,TX900,Honda,12,High,50454,605.45
Storm,MX200,KTM,13,High,137358,1648.3
Storm,GT500,Honda,7,Medium,115309,1383.71
Racer,X100,Suzuki,7,Medium,62257,747.08
Storm,X100,BMW,7,Low,111023,1332.28
Racer,Pro300,Hero,9,Medium,54021,648.25
Rogue,TX900,Suzuki,8,Low,101534,1218.41
Falcon,GT500,Suzuki,8,Low,159610,1915.32
Speedster,Pro300,Honda,13,High,178193,2138.32
Storm,X100,Yamaha,9,Medium,172171,2066.05
Racer,X100,BMW,11,Medium,124779,1497.35
Speedster,X100,BMW,11,Low,154475,1853.7
Storm,Pro300,Yamaha,9,High,120181,1442.17
Storm,GT500,BMW,10,Low,125446,1505.35
Falcon,ZR700,Honda,13,Low,68013,816.16
Falcon,MX200,Suzuki,10,Medium,197797,2373.56
Storm,GT500,Hero,6,High,59118,709.42
Falcon,Pro300,Honda,10,High,147974,1775.69
Speedster,X100,Honda,9,Medium,137789,1653.47
Racer,ZR700,KTM,6,High,106903,1282.84
Racer,X100,Hero,13,High,190290,2283.48
Storm,Pro300,Hero,10,High,193316,2319.79
Cruiser,TX900,BMW,13,Low,182982,2195.78
Racer,TX900,Hero,15,Medium,192423,2309.08
Rogue,TX900,KTM,13,Low,149284,1791.41
Storm,TX900,Suzuki,12,Low,143301,1719.61
Rogue,X100,Suzuki,5,Medium,64099,769.19
Racer,Pro300,KTM,9,Medium,63304,759.65
Cruiser,TX900,BMW,12,Medium,142674,1712.09
Cruiser,Pro300,Yamaha,8,Low,97074,1164.89
Speedster,MX200,Honda,7,Low,144689,1736.27
Falcon,GT500,KTM,9,Medium,138684,1664.21
Falcon,ZR700,Hero,5,High,169445,2033.34
Rogue,Pro300,Suzuki,9,Low,78972,947.66
Cruiser,GT500,Yamaha,6,Medium,147638,1771.66
Cruiser,GT500,BMW,11,Medium,180411,2164.93
Storm,X100,Yamaha,10,High,199680,2396.16
Cruiser,MX200,Honda,5,Low,61502,738.02
Falcon,MX200,Honda,6,Medium,143744,1724.93
Falcon,TX900,Yamaha,13,Low,177543,2130.52
Racer,ZR700,Honda,5,Low,74933,899.2
Rogue,MX200,BMW,15,Medium,164780,1977.36
Rogue,TX900,Suzuki,6,Medium,115816,1389.79
Storm,X100,Yamaha,9,Low,106636,1279.63
Speedster,TX900,BMW,13,Medium,173548,2082.58
Cruiser,MX200,Hero,6,Medium,164070,1968.84
Racer,Pro300,Yamaha,8,Low,61583,739
Rogue,MX200,Yamaha,15,Low,71958,863.5
Falcon,MX200,Yamaha,14,Medium,119236,1430.83
Rogue,ZR700,BMW,9,High,161847,1942.16
Cruiser,ZR700,Suzuki,15,Low,180633,2167.6
Storm,Pro300,Honda,9,Medium,149995,1799.94
Storm,ZR700,BMW,8,Medium,193286,2319.43
Speedster,MX200,Suzuki,6,High,186751,2241.01
Speedster,ZR700,KTM,13,High,125877,1510.52
Cruiser,Pro300,Hero,14,High,76395,916.74
Rogue,ZR700,Honda,15,Medium,80340,964.08
Cruiser,MX200,KTM,12,Medium,125108,1501.3
Speedster,Pro300,Yamaha,5,Medium,154078,1848.94
Storm,TX900,Yamaha,9,Medium,57582,690.98
Speedster,GT500,BMW,13,High,56649,679.79
Racer,X100,Suzuki,12,Low,50237,602.84
Falcon,MX200,KTM,15,High,106514,1278.17
Cruiser,MX200,BMW,10,High,51167,614
Falcon,Pro300,BMW,14,High,101757,1221.08
Storm,Pro300,Hero,14,Medium,177378,2128.54
Falcon,GT500,Yamaha,7,Low,113099,1357.19
Cruiser,X100,Suzuki,7,Low,75562,906.74
Cruiser,MX200,KTM,5,Low,88747,1064.96
Cruiser,MX200,Suzuki,11,Medium,155383,1864.6
Cruiser,ZR700,KTM,6,Low,128460,1541.52
Storm,Pro300,Hero,12,Low,96264,1155.17
Speedster,Pro300,Suzuki,5,Low,155077,1860.92
Storm,TX900,KTM,13,High,57789,693.47
Cruiser,MX200,BMW,5,Low,175649,2107.79
Storm,TX900,Honda,8,Medium,166631,1999.57
Rogue,GT500,BMW,5,Medium,143595,1723.14
Speedster,Pro300,Yamaha,13,Low,159643,1915.72
Falcon,Pro300,Honda,15,Low,67349,808.19
Storm,X100,Yamaha,11,Low,91666,1099.99
Racer,ZR700,Honda,5,Low,104738,1256.86
Storm,X100,Suzuki,11,Medium,173419,2081.03
Falcon,Pro300,Hero,8,Low,93268,1119.22
Racer,TX900,BMW,6,Low,173506,2082.07
Speedster,GT500,Suzuki,9,Medium,122081,1464.97
Cruiser,MX200,Suzuki,11,Low,167376,2008.51
Rogue,Pro300,Yamaha,11,Medium,76611,919.33
Racer,GT500,Suzuki,8,High,130010,1560.12
Racer,ZR700,Honda,10,High,167628,2011.54
Falcon,MX200,KTM,5,Medium,79529,954.35
Speedster,ZR700,Suzuki,12,Medium,141153,1693.84
Racer,MX200,Honda,7,Low,117272,1407.26
Rogue,TX900,BMW,6,High,78532,942.38
Racer,TX900,KTM,6,Low,191134,2293.61
Cruiser,GT500,BMW,13,Medium,179803,2157.64
Speedster,X100,KTM,8,Low,131543,1578.52
Rogue,Pro300,KTM,8,High,159326,1911.91
Falcon,X100,Suzuki,9,Medium,146828,1761.94
Speedster,MX200,Honda,5,Medium,140763,1689.16
Cruiser,MX200,Honda,15,Medium,83518,1002.22
Rogue,ZR700,Honda,8,High,123224,1478.69
Speedster,GT500,Suzuki,13,Medium,157931,1895.17
Storm,TX900,Honda,7,Low,177440,2129.28
Speedster,GT500,Hero,6,Medium,196715,2360.58
Racer,X100,Yamaha,11,High,166365,1996.38
Speedster,GT500,BMW,14,Low,105997,1271.96
Speedster,Pro300,BMW,12,High,71222,854.66
Storm,TX900,BMW,8,Low,181555,2178.66
Falcon,GT500,Honda,7,Low,145778,1749.34
Speedster,TX900,Yamaha,11,High,73306,879.67
Falcon,TX900,Suzuki,13,Medium,113056,1356.67
Falcon,TX900,Honda,11,Medium,161299,1935.59
Storm,Pro300,KTM,13,Low,54830,657.96
Rogue,MX200,Yamaha,5,Medium,68350,820.2
Speedster,MX200,BMW,10,High,172986,2075.83
Storm,ZR700,BMW,13,High,176087,2113.04
Speedster,TX900,Hero,7,Low,191284,2295.41
Falcon,Pro300,Yamaha,5,Medium,131372,1576.46
Storm,X100,Honda,5,High,125065,1500.78
Racer,ZR700,Honda,5,Low,192704,2312.45
Falcon,ZR700,Hero,8,Low,84747,1016.96
Storm,ZR700,Hero,5,High,144309,1731.71
Racer,ZR700,Yamaha,6,High,169250,2031
Rogue,GT500,KTM,14,Low,66810,801.72
Cruiser,TX900,Suzuki,15,High,99415,1192.98
Rogue,Pro300,Suzuki,11,High,119879,1438.55
Storm,Pro300,Honda,15,Medium,91279,1095.35
Racer,MX200,Suzuki,6,Low,195191,2342.29
Rogue,MX200,Hero,7,Medium,115388,1384.66
Racer,Pro300,Yamaha,10,Low,91492,1097.9
Rogue,GT500,Hero,15,Medium,67177,806.12
Racer,ZR700,Hero,14,Low,116745,1400.94
Rogue,MX200,Hero,6,Low,85322,1023.86
Racer,Pro300,BMW,15,Medium,156877,1882.52
Speedster,MX200,KTM,15,Low,165212,1982.54
Cruiser,Pro300,Honda,7,Medium,151147,1813.76
Rogue,Pro300,BMW,10,High,172874,2074.49
Speedster,ZR700,Hero,10,Medium,75066,900.79
Cruiser,GT500,KTM,9,High,196062,2352.74
Rogue,MX200,BMW,6,Low,98366,1180.39
Storm,TX900,Suzuki,15,Medium,96503,1158.04
Racer,X100,Suzuki,6,Medium,160071,1920.85
Falcon,ZR700,Yamaha,11,Medium,152349,1828.19
Speedster,TX900,Honda,15,Medium,88249,1058.99
Racer,MX200,Hero,15,High,144663,1735.96
Storm,ZR700,BMW,10,Low,81883,982.6
Racer,Pro300,Honda,15,High,103982,1247.78
Cruiser,ZR700,Yamaha,15,Medium,153157,1837.88
Storm,Pro300,KTM,7,Medium,63842,766.1
Rogue,ZR700,Hero,10,High,57633,691.6
Speedster,ZR700,Yamaha,10,Low,84979,1019.75
Storm,Pro300,KTM,8,Medium,158897,1906.76
Storm,GT500,BMW,10,Medium,159315,1911.78
Falcon,TX900,Yamaha,11,Low,99171,1190.05
Speedster,Pro300,BMW,13,Low,79173,950.08
Racer,ZR700,KTM,15,High,54622,655.46
Cruiser,TX900,BMW,10,High,148603,1783.24
Storm,ZR700,KTM,15,Medium,118084,1417.01
Cruiser,ZR700,Yamaha,6,Low,186306,2235.67
Speedster,X100,KTM,15,High,154578,1854.94
Rogue,MX200,Suzuki,5,Medium,187760,2253.12
Storm,GT500,Yamaha,5,Low,108206,1298.47
Falcon,MX200,KTM,8,Medium,143110,1717.32
Rogue,ZR700,Yamaha,6,High,58057,696.68
Falcon,MX200,Yamaha,10,Medium,168788,2025.46
Racer,GT500,Honda,9,Medium,74326,891.91
Speedster,X100,Suzuki,7,Medium,128303,1539.64
Racer,GT500,KTM,12,High,68090,817.08
Cruiser,MX200,Honda,6,High,113653,1363.84
Cruiser,X100,BMW,15,Low,102969,1235.63
Storm,TX900,Hero,10,Medium,55841,670.09
Rogue,MX200,BMW,10,High,162781,1953.37
Speedster,MX200,Yamaha,10,Medium,151213,1814.56
Falcon,GT500,Suzuki,8,Low,145208,1742.5
Falcon,MX200,BMW,12,High,135142,1621.7
Racer,ZR700,BMW,13,Medium,53623,643.48
Rogue,GT500,Suzuki,8,Medium,103005,1236.06
Cruiser,GT500,Honda,15,Low,191571,2298.85
Rogue,MX200,Honda,5,Medium,162654,1951.85
Falcon,GT500,Yamaha,10,High,72214,866.57
Storm,MX200,Honda,10,High,91704,1100.45
Falcon,X100,KTM,14,Low,86876,1042.51
Falcon,TX900,KTM,10,Low,116194,1394.33
Storm,X100,BMW,11,Low,100835,1210.02
Speedster,TX900,Honda,9,Low,135570,1626.84
Racer,GT500,KTM,7,High,53682,644.18
Racer,MX200,Suzuki,15,High,191246,2294.95
Storm,ZR700,KTM,5,Low,132492,1589.9
Rogue,TX900,Hero,12,Medium,110702,1328.42
Falcon,MX200,Honda,15,High,83174,998.09
Cruiser,GT500,Yamaha,8,High,54765,657.18
Rogue,Pro300,Honda,8,Medium,66295,795.54
Storm,Pro300,Yamaha,5,High,101983,1223.8
Speedster,GT500,Suzuki,9,High,109767,1317.2
Falcon,X100,Yamaha,14,High,154143,1849.72
Storm,GT500,Suzuki,10,Low,98039,1176.47
Cruiser,Pro300,KTM,10,Low,165085,1981.02
Falcon,ZR700,BMW,11,Medium,157505,1890.06
Cruiser,GT500,Honda,10,High,175569,2106.83
Cruiser,MX200,Suzuki,5,Low,75660,907.92
Cruiser,MX200,Hero,15,High,100146,1201.75
Rogue,Pro300,Hero,6,Medium,166139,1993.67
Cruiser,ZR700,KTM,14,Medium,198153,2377.84
Falcon,GT500,Honda,5,Low,177121,2125.45
Speedster,Pro300,Hero,6,High,82869,994.43
Storm,MX200,BMW,7,Low,75053,900.64
Storm,X100,Suzuki,8,Low,143668,1724.02
Speedster,MX200,Yamaha,7,Medium,119957,1439.48
Cruiser,MX200,Hero,5,Medium,188548,2262.58
Speedster,X100,Hero,5,Low,110966,1331.59
Cruiser,GT500,KTM,11,Low,154205,1850.46
Storm,X100,KTM,8,Medium,148887,1786.64
Storm,Pro300,Hero,9,High,196827,2361.92
